Name and status of region;;ISO;ANSI;;USPS;USCG;GPO;AP;Other
 United States of America;Federal state;US;US;0;;;U.S.;U.S.;U.S.A.
 Alabama;State;US-AL;AL;1;AL;AL;Ala.;Ala.;
 Alaska;State;US-AK;AK;2;AK;AK;Alaska;Alaska;Ak.[1]
 Arizona;State;US-AZ;AZ;4;AZ;AZ;Ariz.;Ariz.;
 Arkansas;State;US-AR;AR;5;AR;AR;Ark.;Ark.;
 California;State;US-CA;CA;6;CA;CF;Calif.;Calif.;Cal. or Ca
 Colorado;State;US-CO;CO;8;CO;CL;Colo.;Colo.;
 Connecticut;State;US-CT;CT;9;CT;CT;Conn.;Conn.;
 Delaware;State;US-DE;DE;10;DE;DL;Del.;Del.;
 District of Columbia;Federal district;US-DC;DC;11;DC;DC;D.C.;D.C.;Dis. Col.[2]
 Florida;State;US-FL;FL;12;FL;FL;Fla.;Fla.;
 Georgia;State;US-GA;GA;13;GA;GA;Ga.;Ga.;Geo.[1]
 Hawaii;State;US-HI;HI;15;HI;HA;Hawaii;Hawaii;Hi.[1]
 Idaho;State;US-ID;ID;16;ID;ID;Idaho;Idaho;Ida.[1]
 Illinois;State;US-IL;IL;17;IL;IL;Ill.;Ill.;Ills., Ill's
 Indiana;State;US-IN;IN;18;IN;IN;Ind.;Ind.;
 Iowa;State;US-IA;IA;19;IA;IA;Iowa;Iowa;Ioa.[a]
 Kansas;State;US-KS;KS;20;KS;KA;Kans.;Kan.;Ka.
 Kentucky;State;US-KY;KY;21;KY;KY;Ky.;Ky.;Ken., Kent.[b]
 Louisiana;State;US-LA;LA;22;LA;LA;La.;La.;
 Maine;State;US-ME;ME;23;ME;ME;Maine;Maine;
 Maryland;State;US-MD;MD;24;MD;MD;Md.;Md.;Mar., Mary.
 Massachusetts;State;US-MA;MA;25;MA;MS;Mass.;Mass.;
 Michigan;State;US-MI;MI;26;MI;MC;Mich.;Mich.;
 Minnesota;State;US-MN;MN;27;MN;MN;Minn.;Minn.;
 Mississippi;State;US-MS;MS;28;MS;MI;Miss.;Miss.;
 Missouri;State;US-MO;MO;29;MO;MO;Mo.;Mo.;
 Montana;State;US-MT;MT;30;MT;MT;Mont.;Mont.;
 Nebraska;State;US-NE;NE;31;NE;NB;Nebr.;Neb.;
 Nevada;State;US-NV;NV;32;NV;NV;Nev.;Nev.;
 New Hampshire;State;US-NH;NH;33;NH;NH;N.H.;N.H.;
 New Jersey;State;US-NJ;NJ;34;NJ;NJ;N.J.;N.J.;N. Jersey[2]
 New Mexico;State;US-NM;NM;35;NM;NM;N. Mex.;N.M.;New M., New Mex.
 New York;State;US-NY;NY;36;NY;NY;N.Y.;N.Y.;N. York[2]
 North Carolina;State;US-NC;NC;37;NC;NC;N.C.;N.C.;N. Car.
 North Dakota;State;US-ND;ND;38;ND;ND;N. Dak.;N.D.;
 Ohio;State;US-OH;OH;39;OH;OH;Ohio;Ohio;O.,[3] Oh.[1]
 Oklahoma;State;US-OK;OK;40;OK;OK;Okla.;Okla.;
 Oregon;State;US-OR;OR;41;OR;OR;Oreg.;Ore.;
 Pennsylvania;State;US-PA;PA;42;PA;PA;Pa.;Pa.;Penn.,[1] Penna.
 Rhode Island;State;US-RI;RI;44;RI;RI;R.I.;R.I.;R.I. & P.P.
 South Carolina;State;US-SC;SC;45;SC;SC;S.C.;S.C.;S. Car.
 South Dakota;State;US-SD;SD;46;SD;SD;S. Dak.;S.D.;SoDak
 Tennessee;State;US-TN;TN;47;TN;TN;Tenn.;Tenn.;
 Texas;State;US-TX;TX;48;TX;TX;Tex.;Texas;
 Utah;State;US-UT;UT;49;UT;UT;Utah;Utah;Ut.[1]
 Vermont;State;US-VT;VT;50;VT;VT;Vt.;Vt.;Verm.[4]
 Virginia;State;US-VA;VA;51;VA;VA;Va.;Va.;Virg.
 Washington;State;US-WA;WA;53;WA;WN;Wash.;Wash.;Wn.[5]
 West Virginia;State;US-WV;WV;54;WV;WV;W. Va.;W.Va.;W.V., W. Virg.
 Wisconsin;State;US-WI;WI;55;WI;WS;Wis.;Wis.;Wisc.
 Wyoming;State;US-WY;WY;56;WY;WY;Wyo.;Wyo.;
 American Samoa;Insular area (Territory);AS;AS;60;AS;AS;A.S.;;
;;ASM;;;;;;;
;;16;;;;;;;
;;US-AS;;;;;;;
 Guam;Insular area (Territory);GU;GU;66;GU;GU;Guam;;
;;GUM;;;;;;;
;;316;;;;;;;
;;US-GU;;;;;;;
 Northern Mariana Islands;Insular area (Commonwealth);MP;MP;69;MP;CM;M.P.;;CNMI[6]
;;MNP;;;;;;;
;;580;;;;;;;
;;US-MP;;;;;;;
 Puerto Rico;Insular area (Commonwealth);PR;PR;72;PR;PR;P.R.;;
;;PRI;;;;;;;
;;630;;;;;;;
;;US-PR;;;;;;;
 U.S. Virgin Islands;Insular area (Territory);VI;VI;78;VI;VI;V.I.;;U.S.V.I.
;;VIR;;;;;;;
;;850;;;;;;;
;;US-VI;;;;;;;
U.S. Minor Outlying Islands;Insular areas;UM;UM;74;;;;;
;;UMI;;;;;;;
;;581;;;;;;;
;;US-UM;;;;;;;
   Baker Island;   island;UM-81;;81;;;;;XB[7]
   Howland Island;   island;UM-84;;84;;;;;XH[7]
   Jarvis Island;   island;UM-86;;86;;;;;XQ[7]
   Johnston Atoll;   atoll;UM-67;;67;;;;;XU[7]
   Kingman Reef;   atoll;UM-89;;89;;;;;XM[7]
   Midway Islands;   atoll;UM-71;;71;;;;;QM[7]
   Navassa Island;   island;UM-76;;76;;;;;XV[7]
   Palmyra Atoll[c];   atoll[c];UM-95;;95;;;;;XL[7]
   Wake Island;   atoll;UM-79;;79;;;;;QW[7]
 Micronesia;Freely associated state;FM;FM;64;FM;;;;
;;FSM;;;;;;;
;;583;;;;;;;
 Marshall Islands;Freely associated state;MH;MH;68;MH;;;;
;;MHL;;;;;;;
;;584;;;;;;;
 Palau;Freely associated state;PW;PW;70;PW;;;;
;;PLW;;;;;;;
;;585;;;;;;;
U.S. Armed Forces – Americas[d];US military mail code;;;;AA;;;;
U.S. Armed Forces – Europe[e];US military mail code;;;;AE;;;;
U.S. Armed Forces – Pacific[f];US military mail code;;;;AP;;;;
 Northern Mariana Islands;Obsolete postal code[g];;;;CM;;;;
Panama Canal ZonePanama Canal Zone;Obsolete postal code;PZ;;;CZ;;;;
;;PCZ;;;;;;;
;;594;;;;;;;
 Nebraska;Obsolete postal code[h];;;;NB;;;;
Commonwealth of the PhilippinesPhilippine Islands;Obsolete postal code;PH;;;PI;;;;
;;PHL;;;;;;;
;;608[8];;;;;;;
Trust Territory of the Pacific IslandsTrust Territory of the Pacific Islands;Obsolete postal code;PC;;;TT;;;;
;;PCI;;;;;;;
;;582;;;;;;;
